Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$80.34,-2.64,-3.181%,141464841.00,United States,,1470,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.1602,0.0022,1.392%,21982870.00,Canada,2015,24684,,
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,$10.48,0.00,0.00%,116945649.00,,2021,100,Industrials,Consumer Electronics/Appliances
ACU,Acme United Corporation. Common Stock,$25.4398,0.5297,2.126%,90010566.00,United States,1988,1440,Consumer Discretionary,Home Furnishings
ADEX,Adit EdTech Acquisition Corp. Common Stock,$10.30,-0.10,-0.962%,96484447.00,,2021,5275,Industrials,Consumer Electronics/Appliances
ADRT,Ault Disruptive Technologies Corporation Common Stock,$10.4915,0.0015,0.014%,150815313.00,,2022,26000,Industrials,Consumer Electronics/Appliances
AE,Adams Resources & Energy Inc. Common Stock,$39.08,0.00,0.00%,99054943.00,United States,1980,854,Energy,Oilfield Services/Equipment
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.13,-0.03,-0.581%,260356626.00,United States,,4264,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.65,0.02,3.175%,24668320.00,,2018,713,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.5201,-0.0011,-0.211%,20642775.00,United States,1997,5855,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$9.85,-0.72,-6.812%,31490263.00,United States,2014,2311,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$3.82,0.04,1.058%,12407119.00,United States,,1115,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$7.29,0.00,0.00%,404083614.00,,,1265,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.2667,0.00,0.00%,6772358.00,China,,16,Consumer Discretionary,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$0.213,-0.0169,-7.351%,3216913.00,United States,2022,16159,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.84,0.0031,0.109%,17562560.00,United States,1988,487,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$4.02,0.00,0.00%,49301103.00,Canada,2000,32,,
AREN,The Arena Group Holdings Inc. Common Stock,$4.00,-0.06,-1.478%,87086440.00,,2022,3259,Technology,Interactive Media
ARMP,Armata Pharmaceuticals Inc. Common Stock,$1.65,0.031,1.915%,59638765.00,United States,,1499,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.90,-0.02,-2.174%,107275911.00,Canada,,60415,,
ASXC,Asensus Surgical Inc. Common Stock,$0.7238,-0.0262,-3.493%,173190680.00,United States,,228477,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.91,0.01,0.112%,229248687.00,United States,,8966,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.1038,-0.0034,-3.172%,43154507.00,United States,1997,698442,Industrials,Military/Government/Technical
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$10.92,0.00,0.00%,,United States,,27,,
AUMN,Golden Minerals Company Common Stock,$0.24,0.00,0.00%,41346061.00,United States,,21931,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$1.1401,-0.0599,-4.992%,15131122.00,,2022,30742,,
AWX,Avalon Holdings Corporation Common Stock,$2.76,0.00,0.00%,10762430.00,United States,1998,14,Utilities,Environmental Services
BACA,Berenson Acquisition Corp. I Class A Common Stock,$10.06,0.00,0.00%,345938250.00,,2021,1,Industrials,Consumer Electronics/Appliances
BATL,Battalion Oil Corporation Common Stock,$6.9912,-0.0288,-0.41%,115008785.00,,,625,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$16.60,0.00,0.00%,97575514.00,United States,1972,452,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$24.01,0.00,0.00%,,United States,,4,,
BDL,Flanigan's Enterprises Inc. Common Stock,$27.57,0.00,0.00%,51242898.00,United States,1972,1,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,$8.1099,-0.0201,-0.247%,151906285.00,Canada,,9633,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$26.14,0.03,0.115%,395353149.00,United States,1997,6291,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$18.27,-0.12,-0.653%,70220782.00,,2022,3697,Real Estate,Real Estate Investment Trusts
BITE,Bite Acquisition Corp. Common Stock,$10.30,0.00,0.00%,88979795.00,,2021,100,Industrials,Consumer Electronics/Appliances
BKTI,BK Technologies Corporation Common Stock,$2.5327,-0.0773,-2.962%,43051308.00,United States,,3835,Technology,Radio And Television Broadcasting And Communications Equipment
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,$10.15,0.00,0.00%,351333957.00,,2021,11,Finance,Blank Checks
BMTX,BM Technologies Inc. Common Stock,$3.545,-0.005,-0.141%,42049053.00,,2018,1213,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$10.07,0.01,0.099%,190790913.00,,,4624,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,$2.8001,-0.0399,-1.405%,27879719.00,United States,1965,3561,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.04,-0.08,-1.942%,4345012764.00,Canada,,862705,,
BTTR,Better Choice Company Inc. Common Stock,$0.4735,-0.0258,-5.167%,14461234.00,,2021,146,Consumer Discretionary,Food Distributors
BURU,Nuburu Inc. Common Stock,$1.64,-0.10,-5.747%,55080292.00,,2020,2615808,Technology,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.7397,0.0097,0.561%,7102832.00,Israel,,905,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$0.6751,-0.0159,-2.301%,188121908.00,United States,,5181,Health Care,Medical Specialities
CCEL,Cryo-Cell International Inc. Common Stock,$3.62,0.00,0.00%,30602456.00,United States,2022,26,Health Care,Managed Health Care
CCF,Chase Corporation Common Stock,$109.00,-0.70,-0.638%,1036068435.00,United States,1995,2467,Consumer Discretionary,Paints/Coatings
CEI,Camber Energy Inc. Common Stock,$1.41,-0.07,-4.73%,31329852.00,United States,,103766,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$34.88,-0.07,-0.20%,975816344.00,United States,1951,5127,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.06,0.02,0.199%,70757765.00,United States,1999,162,Finance,Finance/Investors Services
CHAA,Catcha Investment Corp. Class A Ordinary Shares,$10.29,-0.005,-0.049%,99965899.00,,2021,5000,Finance,Blank Checks
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.65,0.02,0.76%,139493726.00,United States,,14659,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$18.54,0.03,0.162%,228174691.00,United States,1998,477,Technology,Security Systems Services
CKX,CKX Lands Inc. Common Stock,$9.6979,0.00,0.00%,19147796.00,United States,2003,78,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$7.5881,-0.0119,-0.157%,1650020788.00,United States,2003,154448,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$16.00,-0.13,-0.806%,307009168.00,Canada,,3118,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$19.185,0.035,0.183%,174820895.00,United States,1996,2256,Consumer Discretionary,Electronic Components
COHN,Cohen & Company Inc.,$7.0004,0.00,0.00%,12739790.00,United States,,5,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.35,-0.0159,-4.345%,2960333.00,China,,54818,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$46.00,0.04,0.087%,22265523658.00,United States,2007,4839,Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.255,0.005,0.069%,746768134.00,United States,2003,109997,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$30.975,-0.055,-0.177%,223557974.00,,2021,882,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$1.0716,0.0116,1.094%,50833234.00,,2022,6832,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,$2.59,-0.03,-1.145%,113349273.00,United States,1997,19869,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$29.982,-0.018,-0.06%,28966570.00,United States,1930,215,Consumer Discretionary,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.5322,-0.0378,-1.059%,44388394.00,United States,2022,1080,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.365,-0.006,-1.617%,69346072.00,,,156649,Health Care,Pharmaceuticals and Biotechnology
DC,Dakota Gold Corp. Common Stock,$3.21,-0.07,-2.134%,241690299.00,,2022,51364,Basic Materials,Precious Metals
DHY,Credit Suisse High Yield Bond Fund Common Stock,$1.88,-0.02,-1.053%,194605822.00,United States,1998,88775,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$168.05,-4.45,-2.58%,102687289.00,United States,1999,13,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$10.65,-0.11,-1.022%,74560863.00,United States,2000,1032,Consumer Discretionary,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.2697,-0.0003,-0.005%,130141837.00,United States,1988,10315,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.005,-0.005,-0.495%,839537670.00,Canada,,137131,,
DPSI,DecisionPoint Systems Inc. Common Stock,$6.375,-0.025,-0.391%,47285555.00,,2022,908,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,$0.2205,-0.0045,-2.00%,30653286.00,United States,,33479,,
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.13,-0.0099,-7.076%,2714294.00,China,,100834,Consumer Discretionary,Apparel
EAD,Allspring Income Opportunities Fund Common Shares,$6.39,0.015,0.235%,381647709.00,United States,2003,58576,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.13,0.03,0.37%,112025237.00,United States,1986,6713,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$23.65,-0.11,-0.463%,,United States,,450,,
EFSH,1847 Holdings LLC Common Shares,$0.5499,0.0349,6.777%,2560134.00,,2022,4085,Industrials,Consumer Electronics/Appliances
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.19,-0.05,-0.488%,733202945.00,United States,2002,43731,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$6.71,-0.04,-0.593%,180662597.00,United States,,223,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$11.7144,0.00,0.00%,150560322.00,Israel,,5,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$10.2436,-0.1564,-1.504%,87215690.00,United States,2011,1805,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$2.00,-0.06,-2.913%,164916396.00,United States,,63835,Technology,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$2.0001,-0.0199,-0.985%,221339446.00,Canada,,13397,,
ENSV,Enservco Corporation Common Stock,$0.4605,0.0025,0.546%,7270764.00,United States,,10355,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.49,-0.08,-0.836%,170452633.00,United States,2002,1803,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$11.31,-0.28,-2.416%,253825478.00,United States,2022,2840,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$6.54,-0.07,-1.059%,220511142.00,United States,,4718,Energy,Oil & Gas Production
